,precision,recall,f1-score,support
A,0.5,0.5,0.5,4.0
B,0.3333333333333333,1.0,0.5,2.0
C,1.0,0.75,0.8571428571428571,4.0
D,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
E,1.0,0.0,0.0,2.0
F,0.5,0.5,0.5,2.0
G,0.6666666666666666,0.5,0.5714285714285715,4.0
H,1.0,0.3333333333333333,0.5,3.0
I,1.0,1.0,1.0,3.0
J,1.0,0.5,0.6666666666666666,4.0
K,0.5,0.3333333333333333,0.4,3.0
L,1.0,0.75,0.8571428571428571,4.0
M,0.2857142857142857,0.6666666666666666,0.4,3.0
N,0.6,0.75,0.6666666666666665,4.0
O,1.0,1.0,1.0,3.0
P,1.0,0.6666666666666666,0.8,3.0
Q,0.6,1.0,0.7499999999999999,3.0
R,0.5,0.75,0.6,4.0
S,1.0,0.6666666666666666,0.8,3.0
T,1.0,1.0,1.0,2.0
U,1.0,1.0,1.0,3.0
V,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
W,0.75,1.0,0.8571428571428571,3.0
X,1.0,0.5,0.6666666666666666,2.0
Y,1.0,0.6666666666666666,0.8,3.0
Z,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
accuracy,0.6875,0.6875,0.6875,0.6875
macro avg,0.7782967032967032,0.685897435897436,0.6804945054945055,80.0
weighted avg,0.7767559523809524,0.6875,0.6891369047619048,80.0
